,price,year,origin,firstCirculationDate,technicalControl,firstHand,mileage,energy,gearbox,externalColor,doors,seats,length,trunkVolumeRange,consumption,co2
1021,26770,2022,France,29/11/2022,Non requis,Oui,66272,Diesel,Manuelle,blanc,5.0,2.0,4.28,Grand coffre,4.5,119.0
1022,40930,2020,France,11/07/2020,Non requis,Non,67737,Diesel,Automatique,blanc,5.0,5.0,4.44,Moyen Coffre,4.6,118.0
1023,20970,2018,Importé,16/12/2018,Requis,Non,98666,Diesel,Manuelle,gris metal,5.0,5.0,4.67,Moyen Coffre,4.5,128.0
1024,15520,2018,France,23/09/2018,Requis,Non,5661,Electrique,Automatique,blanc metal,5.0,5.0,4.45,Grand coffre,,
1025,244770,2023,Importé,05/12/2023,Non requis,Oui,32595,Essence,Automatique,noir mat,2.0,2.0,4.49,,11.6,264.0
1026,88120,2020,France,15/09/2020,Non requis,Oui,79029,Essence,Automatique,gris,5.0,7.0,4.93,Moyen Coffre,8.2,198.0
1027,30610,2017,France,10/09/2017,Requis,Non,113894,Diesel,Automatique,blanc,5.0,5.0,4.59,Grand coffre,4.7,139.0
1028,12290,2007,France,04/01/2008,Requis,Oui,97170,Essence,Manuelle,gris metal,4.0,5.0,4.52,Moyen Coffre,7.3,175.0
1029,23300,2020,France,06/10/2020,Non requis,Non,99113,Diesel,Automatique,gris,5.0,5.0,4.48,Moyen Coffre,4.5,119.0
1030,29380,2020,France,20/06/2020,Non requis,Oui,75951,Essence,Automatique,violet,5.0,5.0,4.49,Moyen Coffre,5.8,128.0
1031,28490,2019,France,02/04/2019,Requis,Oui,60995,Essence,Manuelle,noir,5.0,5.0,4.3,Moyen Coffre,6.5,148.0
1032,66580,2023,France,13/06/2023,Non requis,Non,35826,Diesel,Automatique,noir,4.0,9.0,4.9,,7.6,200.0
1033,26880,2023,France,23/01/2024,Non requis,Oui,7883,Essence,Automatique,jaune,5.0,5.0,4.05,Moyen Coffre,5.4,122.0
1034,341580,2020,France,23/12/2020,Non requis,Non,14000,Essence,Automatique,gris foncé,5.0,5.0,5.11,Moyen Coffre,12.7,292.0
1035,14260,2015,France,11/11/2015,Requis,Oui,153949,Diesel,Manuelle,gris clair,5.0,5.0,4.43,Grand coffre,3.8,105.0
1036,337370,2023,Importé,15/09/2023,Non requis,Oui,8125,Essence,Automatique,noir metal,2.0,4.0,4.53,Petit coffre,11.0,251.0
1037,23190,2013,Importé,28/05/2013,Requis,Oui,92882,Diesel,Manuelle,gris foncé,5.0,5.0,,,,137.0
1038,13740,2018,France,06/03/2018,Requis,Oui,90736,Diesel,Manuelle,noir metal,5.0,5.0,4.63,,3.9,113.0
1039,46380,2023,France,01/03/2023,Non requis,Oui,9280,Electrique,Automatique,Noir,5.0,5.0,4.59,Moyen Coffre,,
1040,27140,2020,France,26/09/2020,Non requis,Oui,58989,Diesel,Manuelle,blanc,2.0,3.0,5.64,,9.3,242.0
1041,18640,2018,France,20/04/2018,Requis,Oui,82495,Diesel,Automatique,blanc verni,5.0,5.0,3.97,Grand coffre,3.5,99.0
1042,27340,2020,France,06/04/2020,Non requis,Non,50968,Diesel,Automatique,DARK BLUE,5.0,5.0,4.75,Grand coffre,3.8,99.0
1043,30980,2020,France,27/09/2020,Non requis,Oui,115616,Diesel,Manuelle,blanc,4.0,3.0,4.9,,5.2,156.0
1044,28760,2023,France,04/08/2023,Non requis,Oui,8175,Electrique,Automatique,NOIR,5.0,5.0,4.36,Grand coffre,,
1045,36190,2021,Importé,11/04/2021,Non requis,Non,102165,Diesel,Automatique,gris foncé,5.0,5.0,4.5,Moyen Coffre,5.9,124.0
1046,14250,2020,France,30/09/2020,Non requis,Oui,68652,Diesel,Manuelle,blanc,5.0,5.0,4.06,Grand coffre,4.0,104.0
